Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Area,Road,Road Width,Road Type,Amenities,Face
"House For Sale In Kausaltar, Bhaktapur","Kausaltar, Kausaltar, Bhaktapur",Bhaktapur,30000000,5,4,3,0,7.5 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,[],North East
"3.5 Storey : House For Sale In Sipadol, Bhaktapur","Darjeling Height, Sipadol, Bhaktapur",Bhaktapur,19000000,7,4,3.5,1,3 Aana,20 Feet / Gravelled,20 Feet , Gravelled,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking']",North
"House For Sale In Dadikot, Bhaktapur","Dadikot, Dadikot, Bhaktapur",Bhaktapur,22500000,12,4,3,0,4 Aana,20 Feet,20 Feet,,[],North East
"House For Sale In Dadikot, Bhaktapur","Dadikot, Dadikot, Bhaktapur",Bhaktapur,22500000,12,4,4,0,4 Aana,20 Feet,20 Feet,,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",North East
"House For Sale In Lokanthali, Bhaktapur","Lokanthali, Lokanthali, Bhaktapur",Bhaktapur,35000000,14,4,3,0,7.1 Aana,14 Feet,14 Feet,,"['Balcony', 'TV Cable', 'Wifi', 'Water Supply', 'Water Tank']",East
"House For Sale In Radhe Radhe, Bhaktapur","Radhe Radhe, Radhe Radhe, Bhaktapur",Bhaktapur,22000000,5,5,3,0,3.89 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,[],North
"House For Sale In Bhaktapur, Bhaktapur","Bhaktapur, Bhaktapur, Bhaktapur",Bhaktapur,14000000,5,5,2,0,4.5 Aana,13 Feet / Gravelled,13 Feet , Gravelled,[],North
"House For Sale In Lokanthali, Bhaktapur","Lokanthali, Lokanthali, Bhaktapur",Bhaktapur,25500000,3,6,4,0,5 Aana,10 Feet,10 Feet,,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",West
"Beautiful Land Sale On Radhe Radhe Bhaktapur : Land For Sale In Bhaktapur, Bhaktapur","Bhaktapur, Bhaktapur, Bhaktapur",Bhaktapur,1.40E+08,5,7,4,0,4 Aana,13 Feet / Gravelled,13 Feet , Gravelled,[],South
"Commercial Building : House For Sale In Gatthaghar, Bhaktapur","Gathaghar, Bhaktapur, Gatthaghar, Bhaktapur",Bhaktapur,75000000,12,8,5,0,12 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Garage', 'Balcony', 'Solar Water', 'Water Well', 'Wifi', 'Water Tank', 'Modular Kitchen', 'Water Supply', 'TV Cable', 'Drainage']",East
"2.5 Storey Bungalow For Sale at Tikathali, Lalitpur","Tikathali,Bhaktapur",Bhaktapur,36000000,6,6,2.5,10,4.625 Aana,12 Feet,12 Feet,Paved,"['Garden','Terrace','Balcony','Electricity Backup','Parking','Drainage','Internet']",South West
"House For Sale at Madhyapur Thimi-3 Chardobato, Bhaktapur","Chardobato, Madhyapur Thimi-3, Bhaktapur",Bhaktapur,31000000,5,4,2.5,12,4.5 Aana,12 Feet,12 Feet,Blacktopped,"['Terrace','Balcony','Electricity Backup','Parking','Drainage','Internet']",West
"4.5 Storey Full Furnished House for Sale at Bode, Bhaktapur","North Point Mall, Bode, Bhaktapur",Bhaktapur,45500000,13,7,4.5,19,7.0 Aana,13 Feet North and East,13 Feet,Paved,"['Terrace','Balcony','Electricity Backup','Parking','Drainage','Internet','CCTV']",North East
"House for Sale at Bode, Bhaktapur"," North Point Mall, Bode, Bhaktapur,",Bhaktapur,28000000,6,3,2.5,10,4 Aana,13 Feet,13 Feet,Gravelled,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Parking', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Intercom', 'Internet', 'Kids Playground']",North West
"Fully Furnished House For Sale at Dhadikot Height, Bhaktapur","Dhadhikot Height, Dhadikot , Bhaktapur",Bhaktapur,59500000,5,6,2.5,22,10.0 Aana,14 Feet,14 Feet,Blacktopped,"['Terrace','Balcony','Electricity Backup','Parking','Drainage','Internet','CCTV']",East
"House For Sale In DDC Chowk, Biratnagar","Tintoliya, DDC Chowk, Biratnagar",Biratnagar,8000000,3,1,2,1,2.1 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,[],West
House on Sale Biratnagar,"PratibhaCHowk,Biratnagar",Biratnagar,2.40E+07,4,7,2.5,6,2.5 aana,12 Feet,12 Feet,Paved,"['Wifi','Drainage','Parking','Balcony','Electricity Backup','Terrace']",North
"House For Sale In Butwal, Butwal","Rupandehi, Butwal, Butwal",Butwal,25000000,10,4,3,0,7 Aana,20 Feet / Gravelled,20 Feet , Gravelled,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",East
"House For Sale In Bharatpur, Chitwan","Bhojad, Bharatpur, Chitwan",Chitwan,50000000,6,4,3.5,10,12 Aana,6 Meter / Blacktopped,6 Meter , Blacktopped,[],North
"House For Sale In Bharatpur, Chitwan","Narayanghat, Bharatpur, Chitwan",Chitwan,48000000,10,0,3,0,10.56 Aana,6 Meter,6 Meter,,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Garden', 'Frontyard', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet', 'Kids Playground']",South
House For Sale at Chitwan,"Manahari,Bharatpur,Chitwan",Chitwan,5.70E+06,2,1,1.5,5,3.51 Aana,15 Feet,15 Feet,Gravelled,"['Garage', 'Balcony', 'Frontyard', 'Drainage', 'Water Supply']",South
"House Sale At Pokhara Buspark, Chitwan : House For Sale In Bharatpur, Chitwan","Naranghat, Bharatpur, Chitwan",Chitwan,10500000,4,2,3,1,4 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,"['Water Supply', 'Drainage', 'Water Tank']",East
"Attractive House For Sale In Ratnanagar, Chitwan : House For Sale In Ratnanagar, Chitwan","Jerauna, Ratnanagar, Chitwan",Chitwan,7700000,4,2,2,1,6 Aana,16 Feet / Gravelled,16 Feet , Gravelled,"['Backyard', 'Balcony', 'Fencing', 'Frontyard', 'Water Tank', 'Parking']",South
"Land For Sale : Land For Sale In Taadi, Chitwan","Ratnanagar Tandi Chitwan, Taadi, Chitwan",Chitwan,9000000,2,3,2.5,0,2.9 Aana,20 Feet,20 Feet,,[],South
"House For Sale In Bharatpur, Chitwan","Naurangey, Bharatpur, Chitwan",Chitwan,13500000,3,3,3,3,5 Aana,6 Meter / Blacktopped,6 Meter , Blacktopped,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",East
"Bungalow At Aananda Colony, Aastha Chowk : House For Sale In Bharatpur, Chitwan","Aananda Colony, Bharatpur, Chitwan",Chitwan,16000000,3,4,2,1,2.6 Aana,6 Meter,6 Meter,,"['Air Condition', 'Balcony', 'Deck', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Water Tank', 'Electricity Backup', 'Internet', 'Parking']",West
House For Sale,"TigerChowk,Bharatpur,Chitwan",Chitwan,1.15E+07,5,4,2.5,10,4.79 Aana,12 Feet,20 Feet,Gravelled,"['Garage', 'Balcony', 'Frontyard', 'Drainage', 'Water Supply']",South
"House For Sale In Bharatpur, Chitwan","Bhojad, Bharatpur, Chitwan",Chitwan,17500000,2,5,1,2,1.2 aana,6 Meter / Blacktopped,6 Meter , Blacktopped,"['Lawn', 'Garden', 'TV Cable', 'Water Well', 'Electricity Backup', 'Internet', 'Parking']",East
House for sale at Narangarh,"Naragauney,Bharatpur,Chitwan",Chitwan,1.30E+07,5,5,2.5,10,5.33,20 Feet,20 Feet,Blacktopped,"['Wifi','Drainage','Parking','Balcony','Electricity Backup','Terrace']",North East
House For Sale ,"Om Shanti,Bharatpur,Chitwan",Chitwan,3.00E+07,3,6,2.5,10,3.73 Aana,18 Feet,18 Feet,Blacktopped,"['Garage', 'Balcony', 'Frontyard', 'Drainage', 'Water Supply']",North
House for sale at Bharatpur,"Bharatpur,Chitwan",Chitwan,2.80E+07,3,6,2,20,14.11 Aana,20 Feet,20 Feet,Gravelled,"['Garage', 'Balcony', 'Frontyard', 'Drainage', 'Water Supply']",East
"Land For Sale In Bhandara, Chitwan","Rapti Nagar, Bhandara, Chitwan",Chitwan,50000000,4,6,2.5,15,20 Aana,20 Feet / Soil Stabilized,20 Feet , Soil Stabilized,[],North
"HOUSE FOR SALE IN CHITWAN : House For Sale In Bharatpur, Chitwan","bharattpur-2 aaptari near samata school, Bharatpur, Chitwan",Chitwan,23000000,11,6,3,3,3 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Garage', 'Balcony', 'Fencing', 'Wifi', 'Water Supply', 'TV Cable', 'Water Tank']",East
"House For Sale In Bharatpur, Chitwan","2, Bharatpur, Chitwan",Chitwan,23000000,15,6,3,10,10 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Garage', 'Balcony', 'Fencing', 'TV Cable', 'Wifi', 'Water Supply', 'Water Tank']",East
"Land For Sale In Khairahani, Chitwan","Tulsipur, Parsa, Khairahani, Chitwan",Chitwan,1.44E+07,9,8,3,0,9 Aana,10 Feet / Soil Stabilized,10 Feet , Soil Stabilized,[],North
"Best Price For The Property : Land For Sale In Bharatpur, Chitwan","Baraghare, Bharatpur, Chitwan",Chitwan,60500005,12,10,5,0,4.26 Aana,14 Feet,14 Feet,,[],North
A Beautifully Wooden crafted Resort for sale at the heart of Chitwan,"Sauraha, Chitwan",Chitwan,25000000,8,6,3,20,15 Aana,12 Feet,12 Feet,Blacktopped,"['Terrace','Balcony','Parking','Drainage','Internet','Wifi','Garden']",North
House on sale Tulsipur,"Tulsipur,Dang",Dang,9.00E+06,2,2,1,3,2.5 Aana,13 Feet,13 Feet,Gravelled,"['Wifi','Drainage','Parking','Balcony','Electricity Backup','Terrace']",North
"Business For Sale In Dhading, Dhading","Charaudi, Benighat Rorang Gaupalika, Dhading, Dhading",Dhading,62000000,8,10,2.5,0,45 aana,25 Feet,25 Feet,,[],West
"2 Storey : House For Sale In Dhading, Dhading","Nilkantha Nagarpalika -3, Dhading, Dhading",Dhading,10000000,4,3,2,0,4.2 Aana,7 Feet / Gravelled,7 Feet , Gravelled,[],East
"House For Sale In Dhading, Dhading","Dhading Mankamana tol, Dhading, Dhading",Dhading,9500000,4,5,2,0,5 Aana,15 Feet / Soil Stabilized,15 Feet , Soil Stabilized,[],East
"House For Sale In Dharan, Dharan","Dharan-16, Dharan, Dharan",Dharan,8000000,2,1,2.5,0,2.1 Aana,52 Feet / Blacktopped,52 Feet , Blacktopped,[],East
"House For Sale In Dharan, Dharan","Dharan-15, Dharan, Dharan",Dharan,8500000,4,3,2.5,0,3.2 Aana,15 Feet / Gravelled,15 Feet , Gravelled,[],South
"House For Sale In Dharan, Dharan","Nearby, Phusre, Dharan, Dharan",Dharan,10000000,3,5,3,0,2.3 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,[],East
"House For Sale In Dharan, Dharan","Dharan-13, Dharan, Dharan",Dharan,12500000,8,7,3.5,0,3.8 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,[],West
House For Sale,Dharan,Dharan,3.75E+07,8,10,5,5,4 Aana,15 Feet,15 Feet,Blacktopped,"['Wifi','Drainage','Parking','Balcony','Electricity Backup','Terrace']",South West
"House For Sale In Damak, Jhapa","Damak, Damak, Jhapa",Jhapa,20000000,4,2,2,3,10 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,[],North East
"Land For Sale In Kakarbhitta, Jhapa","Mechi Municipality, Kakarbhitta, Jhapa",Jhapa,10000000,6,3,5,0,3.6 Aana,25 Feet,25 Feet,,[],South East
House For Sale,"Durgapur,Jhapa",Jhapa,3.80E+06,2,3,1,3,0.5 Aana,8 Feet,8 feet,Gravelled,"['Drainage', 'Water Supply','Wifi','Balcony']",West
"House For Sale In Damak, Jhapa","Damak, Damak, Jhapa",Jhapa,19000000,2,5,2,0,6.2 Aana,15 Feet / Gravelled,15 Feet , Gravelled,[],East
House Sale at Birtamode,"Birtamod,Jhapa",Jhapa,1.25E+07,4,6,2.5,5,1.1 aana,12 Feet,12 Feet,Paved,"['Drainage', 'Water Supply','Wifi','Balcony']",East
House for Sale Jhapa,"Birtamod,Jhapa",Jhapa,9.00E+06,4,6,2.5,3,6.3 Aana,8 Feet,8 Feet,Paved,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",North
"Shivam Guest House : Land For Sale In Buddha Bhumi Nagarpalika, Kapilvastu","Near Shree Laxmi Narayan Rd, Krishnanagar, Buddha Bhumi Nagarpalika, Kapilvastu",Kapilvastu,37000000,6,8,3,2.5,25 Aana,0 Feet / Paved,0 Feet , Paved,[],North
House for Sale at Gagangauda,"Gagangauda,Kaski",Kaski,1.20E+07,2,3,1,8,4.4 aana,12 Feet,12 Feet,Blacktopped,"['Wifi','Drainage','Parking','Balcony','Electricity Backup','Terrace']",North
"22 Aana Land For Sale Near Iceland Hotel Pokhara : Land For Sale In Dhampus, Kaski","Pokhara, Dhampus, Kaski",Kaski,15000000,3,4,4,0,22 Aana,20 Feet / Soil Stabilized,20 Feet , Soil Stabilized,[],South
House For Sale on Pokhara Hemja,"Hemja,Kaski",Kaski,2.10E+07,4,7,2.5,2,7.0 Aana,10 Feet,10 Feet,Paved,"['Wifi','Drainage','Parking','Balcony','Electricity Backup','Terrace']",North East
House for Sale at Gagangauda,"Gagangauda,Kaski",Kaski,2.35E+07,5,7,2.5,10,10 Aana,10Feet,10 feet,Paved,"['Wifi','Drainage','Parking','Balcony','Electricity Backup','Terrace']",West
Single House for Sale in Gandaki,"Lekhnath NP,Kaski,Gandaki",Kaski,15000000,2,2,1,5,4.38 Aana,10 Feet,10 Feet,Gravelled,"['Garden','Electricity Backup','Terrace','Balcony','Parking','Drainage','Internet']",East
"Land For Sale In Tripureshwor, Kathmandu","Near Bluebird, Tripureshwor, Kathmandu",Kathmandu,13500000,5,4,3,0,6.2 Aana,20 Feet,20 Feet,,[],South East
"Business For Sale In Thamel, Kathmandu","Thamel, Thamel, Kathmandu",Kathmandu,240000000,6,8,5,0,22 Aana,6 Meter,6 Meter,,[],North
"House For Sale In Golfutar, Kathmandu","Golfutar, Golfutar, Kathmandu",Kathmandu,59900000,8,8,3,4,16 Aana,26 Feet / Gravelled,26 Feet , Gravelled,"['Backyard', 'Balcony', 'Frontyard', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",North
"House For Sale In Budhanilkantha, Kathmandu","Rudreshwor Chowk Bus Stop, Budhanilkantha, Kathmandu",Kathmandu,45000000,6,9,2.5,0,8 Aana,15 Feet / Soil Stabilized,15 Feet , Soil Stabilized,[],South
"Swarsati Kunj : House For Sale In Balkhu, Kathmandu","Balkhu, Balkhu, Kathmandu",Kathmandu,41000000,5,9,3,0,4 Aana,12 Feet / Blacktopped,12 Feet , Blacktopped,"['Balcony', 'Wifi', 'Fencing', 'Drainage', 'Solar Water', 'Washing Machine', 'Garden', 'Water Supply', 'TV Cable', 'Water Tank']",East
"House For Sale In Syuchatar, Kathmandu","Nagarjun, Syuchatar, Kathmandu",Kathmandu,40000000,5,8,4,0,20 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,"['Balcony', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",West
"House For Sale In Hattigauda, Kathmandu","Hattigauda, Hattigauda, Kathmandu",Kathmandu,37500000,5,4,3,0,6 Aana,20 Feet,20 Feet,,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",North West
"Civil Homes House : House For Sale In Chandragiri, Kathmandu","Civil Homes, Chandragiri, Kathmandu",Kathmandu,35000000,5,6,2,2,5.63 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Lawn', 'Balcony', 'Swimming Pool', 'Modular Kitchen']",East
"House For Sale In Mid Baneshwor, Kathmandu","MId Baneshwor, Mid Baneshwor, Kathmandu",Kathmandu,35000000,5,6,3,0,3.89 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,[],North
"House For Sale In Baluwatar, Kathmandu","Nearby, Russian Embassy, Baluwatar, Kathmandu",Kathmandu,34000000,5,7,3,0,4 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,"['Garage', 'Balcony', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Parking']",East
"Hattigauda 6.5 Ana Bungalow : House For Sale In Hattigauda, Kathmandu","NA, Hattigauda, Kathmandu",Kathmandu,33000000,5,6,3,3,6.5 Aana,18 Feet / Blacktopped,18 Feet , Blacktopped,"['Garden', 'Frontyard', 'Modular Kitchen', 'TV Cable']",East
"House For Sale In Tokha, Kathmandu","Near Veena's Residency, Tokha, Kathmandu",Kathmandu,32500000,5,2,3,0,6.62 Aana,13 Feet / Gravelled,13 Feet , Gravelled,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",North East
"House For Sale In Hattigauda, Kathmandu","Hattigauda, Hattigauda, Kathmandu",Kathmandu,30000000,5,4,3,0,6.5 Aana,15 Feet,15 Feet,,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",South East
"Bafal Kohinoor Housing Colony : House For Sale In Kalimati, Kathmandu","Purano Kalimati, Kalimati, Kathmandu",Kathmandu,29500000,5,3,2.5,0,3.7 Aana,0 Feet,0 Feet,,[],West
"House For Sale In Kalopul, Kathmandu","Best Venue (Previously Hira Ratna Cinema), Kalopul, Kathmandu",Kathmandu,29000000,5,5,3,0,3.3 Aana,10 Feet / Blacktopped,10 Feet , Blacktopped,[],East
"House For Sale In Kadaghari, Kathmandu","Kadaghari, Kadaghari, Kathmandu",Kathmandu,29000000,5,6,3,0,4 Aana,12 Feet / Blacktopped,12 Feet , Blacktopped,[],South East
"House For Sale In Golfutar, Kathmandu","Hepali, Golfutar, Kathmandu",Kathmandu,28500000,5,4,3,0,4.11 Aana,12 Feet / Gravelled,12 Feet , Gravelled,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",South
"House For Sale In Budhanilkantha, Kathmandu","Budhanilkanth, Budhanilkantha, Kathmandu",Kathmandu,28000000,5,6,3,0,4 Aana,15 Feet / Gravelled,15 Feet , Gravelled,[],North
"House For Sale In Basundhara, Kathmandu","Basundhara, Basundhara, Kathmandu",Kathmandu,26500000,5,5,3,0,3.5 Aana,12 Feet,12 Feet,,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",East
"Near Grandy : House For Sale In Tokha, Kathmandu","Tokha, Kathmandu, Tokha, Kathmandu",Kathmandu,26300000,5,6,2,1,4 Aana,13 Feet,13 Feet,,"['Parking', 'Water Tank', 'Drainage']",South West
"House For Sale In Tokha, Kathmandu","Greenland Chowk, Tokha, Kathmandu",Kathmandu,26000000,5,5,3,0,4.1 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",South
"House For Sale In Banasthali, Kathmandu","Banasthali, Banasthali, Kathmandu",Kathmandu,22500000,5,1,2,0,4.9 Aana,13 Feet / Gravelled,13 Feet , Gravelled,[],West
"House For Sale In Budhanilkantha, Kathmandu","Rudreshwor Chowk Bus Stop, Budhanilkantha, Kathmandu",Kathmandu,49500000,6,6,2.5,0,9 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,"['Balcony', 'Frontyard', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Parking', 'Store Room']",North West
"House For Sale In Budhanilkantha, Kathmandu","Bagaichaa Colony, Budhanilkantha, Kathmandu",Kathmandu,45000000,6,6,3,0,8 Aana,20 Feet / Gravelled,20 Feet , Gravelled,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",North East
"House For Sale In Hattisar, Kathmandu","Hattisar, Hattisar, Kathmandu",Kathmandu,43500000,6,7,3,0,3.85 Aana,20 Feet,20 Feet,,"['Drainage', 'Water Supply']",South East
"House For Sale In Hattisar, Kathmandu","Hattisar, Hattisar, Kathmandu",Kathmandu,43500000,6,6,3,0,4.51 Aana,20 Feet,20 Feet,,"['TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",West
"House For Sale In Shantinagar, Kathmandu","Siddhicharan Marg, Shantinagar, Kathmandu",Kathmandu,42500000,6,6,3,4,6.4 Aana,10 Feet / Blacktopped,10 Feet , Blacktopped,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Parking']",East
